user_id,age,subscription_tier,ab_test_group,daily_steps_avg,sleep_quality_score,supplement_purchases,churned_within_6mo
1001,58.8,Basic,Variant_B,2116.0,4.8,0,1
1002,48.6,Basic,Control,4981.0,9.8,0,1
1003,47.3,Basic,Control,2529.0,5.1,0,0
1004,47.3,Basic,Variant_B,3233.0,6.1,0,1
1005,80.8,Free,Variant_B,2784.0,4.9,0,1
1006,63.7,Basic,Variant_B,2857.0,6.3,1,1
1007,44.1,Free,Control,3041.0,3.4,0,1
1008,59.6,Free,Control,1613.0,4.7,0,1
1009,54.5,Free,Variant_B,4362.0,4.8,0,1
1010,29.4,Basic,Variant_B,5218.0,6.9,1,1
1011,37.6,Premium,Variant_B,3565.0,7.7,0,0
1012,55.7,Basic,Variant_B,1863.0,6.6,1,1
1013,78.2,Basic,Variant_B,2156.0,2.2,0,1
1014,47.4,Basic,Control,2088.0,8.8,0,1
1015,43.1,Basic,Control,3644.0,6.7,2,1
1016,52.4,Free,Variant_B,2224.0,4.6,0,1
1017,42.4,Free,Control,5317.0,7.0,0,0
1018,46.5,Free,Control,4262.0,6.7,2,1
1019,50.5,Free,Variant_B,3203.0,5.1,1,1
1020,37.1,Free,Variant_B,4284.0,6.7,0,1
1021,64.8,Free,Control,3811.0,5.4,1,1
1022,35.5,Free,Control,2727.0,5.3,1,1
1023,34.4,Premium,Control,4495.0,5.5,3,1
1024,53.7,Free,Variant_B,3003.0,3.9,0,1
1025,63.2,Free,Variant_B,3599.0,6.4,0,1
1026,53.3,Free,Control,3073.0,6.9,0,1
1027,48.9,Basic,Control,1444.0,6.3,2,1
1028,46.3,Free,Variant_B,2271.0,7.0,0,1
1029,44.2,Free,Control,3042.0,6.5,0,1
1030,69.4,Basic,Variant_B,2536.0,5.0,1,1
1031,55.8,Free,Variant_B,4856.0,7.9,0,1
1032,45.2,Free,Control,1710.0,3.5,0,1
1033,41.5,Free,Variant_B,3676.0,4.9,0,1
1034,60.8,Free,Control,4273.0,5.0,0,1
1035,68.9,Free,Control,4894.0,8.3,0,1
1036,66.9,Free,Variant_B,2258.0,7.2,2,1
1037,39.5,Premium,Control,5700.0,7.6,0,1
1038,46.2,Basic,Variant_B,3646.0,7.8,0,1
1039,43.9,Basic,Variant_B,3317.0,4.8,0,1
1040,47.9,Free,Control,2942.0,6.5,0,1
1041,64.6,Premium,Control,5145.0,6.5,2,1
1042,75.8,Free,Control,1000.0,6.6,2,1
1043,56.4,Free,Control,3553.0,6.0,0,1
1044,41.9,Basic,Control,3289.0,5.5,0,1
1045,50.1,Free,Control,2775.0,6.7,0,1
1046,80.5,Free,Control,4437.0,7.8,0,1
1047,52.0,Basic,Variant_B,2285.0,4.8,0,1
1048,46.4,Premium,Variant_B,4670.0,6.5,2,1
1049,47.5,Free,Variant_B,5042.0,5.1,1,1
1050,56.4,Basic,Control,2041.0,1.9,1,1
1051,39.9,Premium,Control,4652.0,6.9,0,1
1052,43.7,Free,Variant_B,2980.0,6.9,0,1
1053,66.6,Free,Control,3510.0,6.6,1,0
1054,55.9,Free,Control,3090.0,3.1,1,1
1055,52.2,Free,Variant_B,1664.0,5.0,0,1
1056,67.6,Free,Variant_B,2116.0,2.4,0,1
1057,41.2,Premium,Variant_B,4569.0,8.6,2,1
1058,46.0,Basic,Control,3004.0,4.4,0,1
1059,55.4,Basic,Variant_B,3319.0,8.0,0,0
1060,54.8,Free,Variant_B,3323.0,7.5,0,1
1061,33.6,Premium,Variant_B,3552.0,4.8,3,0
1062,44.7,Premium,Variant_B,6170.0,5.4,3,0
1063,48.3,Premium,Variant_B,5287.0,7.3,1,1
1064,57.2,Free,Variant_B,4241.0,5.1,0,1
1065,54.7,Basic,Control,3350.0,6.3,0,1
1066,49.6,Free,Variant_B,4110.0,5.6,0,0
1067,29.4,Free,Variant_B,3879.0,3.6,1,1
1068,50.3,Free,Variant_B,4341.0,3.1,0,0
1069,51.6,Basic,Control,3491.0,6.5,0,1
1070,103.9,Basic,Control,1825.0,4.8,1,1
1071,47.8,Free,Variant_B,5316.0,5.9,0,1
1072,55.4,Free,Variant_B,3780.0,7.3,0,1
1073,71.2,Free,Variant_B,3150.0,7.8,1,1
